PassengerID,Name,Age,sex,Fare,Embarked,Survived
1,Bround,Mr.Owen Harris,22,male,7.25,S,0
2,Cumings,Mrs. John Bradley,38,female,71.2833,C,1
3,Heikkinen,Miss. laina,26,female,7.925,S,1
4,Futrelle,Mrs. Jacques Heath, 35, female, 53.1,S,1
5,Allen, Mr. William Henry,35,male,8.05,S,0
6,Moran, Mr. James,,male, 8.4583,Q,0
7,McCarthy Mr. Timothy, 54,male,51.8625,S,0
8,Palsson, Master. Gosta leonard,2,male,S,21.075
9,Johnson, Mrs. Oscar W,27,female,11.1333,C,1
10,Nasser, Mrs. Nicholas,14,female,30.0708,C,1





